geneID	A1AbRi	A5AbRi	A9AbRi	A2CRi	A6CRi	A10CRi	A3AbTo	A7AbTo	A11AbTo	A4CTo	A8CTo	A12CTo
ENSRNOG00000040120	0	0	0	0	0.028118965	0.031919411	0	0	0.02712952	0	0	0
ENSRNOG00000029211	0	0.305245723	0.66607593	0.072348252	0.450132755	0.383228157	0.492531266	0.63947246	0.48858026	0.586522017	0.453684474	0.062528692
ENSRNOG00000043186	14.02089655	12.09712547	7.902389819	6.321214435	8.027600053	9.183218127	9.502466244	9.129834234	10.08667613	11.28701117	11.164244	9.681725482
ENSRNOG00000009208	10.89885796	7.527397382	8.836640695	8.138505723	8.638869474	7.282027804	8.014063749	7.835639583	7.097032064	6.389787764	7.557590087	7.128949096
Novel01033	10.29421696	13.50528645	6.932383656	8.33461365	12.40032017	9.506070872	8.693122961	8.901731412	6.020834059	8.855199032	7.993955173	5.7716582
ENSRNOG00000041899	6.190850996	4.422199121	6.015378476	3.593601797	0.698702899	2.379410266	20.38705368	15.15969177	18.20116083	29.86139497	16.90118236	21.74098861
ENSRNOG00000015188	2.041960896	2.877772775	2.439886925	2.186391615	2.354396974	3.266520571	3.307662579	3.333467167	2.650142691	4.181262641	2.548749919	3.68237688
ENSRNOG00000048242	11.69936585	9.840950156	12.59616958	5.220283049	7.623132924	14.26715248	18.58843059	18.76434089	18.29346951	20.05719427	20.78621712	18.52698711
ENSRNOG00000002843	0	0	0.151149777	0	0	0.31886923	0.273210728	0	0	0.146406641	0.141559946	0
ENSRNOG00000013736	0	0	0	0	0	0	0.029579013	0.031421111	0.088025204	0.031701273	0.030651823	0.033796499
ENSRNOG00000027907	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048955	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002254	22.507247	18.45900337	21.9443027	11.29054741	19.56182868	24.28232162	23.2488687	24.79754644	22.00338366	20.54376948	21.92871775	21.27812968
ENSRNOG00000049300	0	0	0	0	0	0	0	0	0	0	0	0
Novel01466	3.705879183	5.153126355	2.478578419	5.370706505	4.176899299	1.196436138	3.455033684	3.952526897	3.577969303	3.418087712	4.170512171	3.557236923
ENSRNOG00000015845	4.597090396	2.700279359	5.588103428	4.631232332	2.701347262	5.195929886	10.53866927	8.497027061	10.25141812	10.30924869	8.394874257	7.304840441
ENSRNOG00000011881	3.172821594	3.16349506	4.552082175	1.410072228	3.551023629	5.038707013	5.840945527	6.258657268	6.348307751	5.389066388	5.736994689	5.629179475
ENSRNOG00000025318	3.462785503	2.709081525	3.50483005	2.895418036	2.717073244	3.464558261	4.470808928	4.172407861	3.501272229	4.791584297	4.314094226	3.701947307
ENSRNOG00000009571	28.69717065	17.94295605	17.04339652	17.02769789	16.08879223	15.69192277	34.91184618	32.86536909	39.97412539	36.62964743	35.0072631	43.46127879
ENSRNOG00000016214	13.05584778	11.55520655	15.35483586	9.219913267	11.01470449	14.21745063	13.16784	15.54796885	13.86452217	13.04808797	15.27023427	14.11313142
ENSRNOG00000049576	0	0	0	0	0	0	0	0	0	0	0	0
Novel01697	0.485195663	0.519871623	2.681334069	0.492872469	0.81454687	3.535379548	3.3087669	2.326716912	2.31142571	3.895789207	4.008284603	2.236377735
ENSRNOG00000048623	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000034240	3.029219088	2.934372079	3.038647986	3.143560898	3.004357086	3.117255049	4.831061904	4.135781698	3.413585009	4.80079979	4.381580566	4.706737064
Novel01638	0.252231681	0.36034423	0.482506103	0.384333766	0.498172645	0.254476639	0.43607687	0.514705024	0.456610884	0.467364881	0.451893075	0.664339131
ENSRNOG00000009771	26.41277194	28.22169612	21.68758437	20.15660207	27.83390704	22.97518709	25.88578967	24.1146369	21.40965175	24.29333845	24.20889485	20.28557825
ENSRNOG00000006314	0	0	0.035128245	0	0	0	0	0	0	0	0	0
ENSRNOG00000018782	2.90623141	3.812980324	6.454531743	5.181436887	4.685698561	6.542368296	7.063935266	5.325318194	6.690812188	6.251986127	5.95056484	5.727904167
ENSRNOG00000047950	0.145055036	0.241767288	0.698845441	0.147350108	0.076397964	0.433618019	0.817363305	1.144532999	1.40048404	1.353830819	1.34751353	1.018806585
ENSRNOG00000035572	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000024041	0	0.062619418	0.149063645	0.445254928	0	0.078617069	0.13471997	0.643994793	0.534557073	0.433157916	0.349015424	0.230893274
ENSRNOG00000020073	3.612841555	2.49538379	3.376259703	2.820747052	2.38245745	3.373881737	4.221456015	3.022066353	4.187592179	4.425985371	3.732645384	5.216576343
ENSRNOG00000011397	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051257	0	0.733936409	0.679433067	0	0.541152246	0	150.6187975	24.69406686	70.22383239	158.0409449	26.90749239	62.14248496
ENSRNOG00000040215	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000033358	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000027857	10.92703076	11.31108358	9.644437575	8.13680513	11.48576814	11.33570603	5.870228511	5.895674884	5.823138488	5.910113003	6.894222635	4.227585971
ENSRNOG00000049636	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005428	101.400442	75.21198894	74.61385625	99.7817544	75.71571166	75.24216593	126.0462681	123.2698291	131.7668481	121.5944164	120.3299301	130.6647665
ENSRNOG00000009049	58.66464429	57.29489124	42.23550925	52.33914794	53.25224168	40.88858731	50.46948357	49.82737653	50.58075571	52.06284642	50.4537107	53.37807208
ENSRNOG00000039754	3.46782645	4.101444471	7.15335691	1.963469167	3.278616453	8.208223265	4.324576805	6.125199186	4.636543185	5.196661424	7.55957753	3.64350463
ENSRNOG00000039760	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000519	8.39751707	8.007852543	7.795055019	9.080730578	6.189761683	7.362712392	11.03178963	11.17454848	8.370270171	11.94342846	12.14536203	10.08013605
ENSRNOG00000042480	0	0	0	0	0	0.409528129	0	0	0	0	0	0
ENSRNOG00000050845	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000020723	32.7435014	29.48341243	32.34754886	11.82893925	31.10553823	37.42924906	58.77986794	59.94665794	65.90996084	58.20243799	56.09207722	64.63036758
ENSRNOG00000017484	0.191120449	0.058508412	0.02321292	0.221879283	0.064709882	0.073455807	0.251751034	0.044571564	0.041621921	0.20236041	0.108700779	0.119852768
ENSRNOG00000015975	4.276662738	2.025139527	2.042705036	5.027705953	2.163864619	2.757977603	4.098442772	4.000681086	3.149897771	3.521915457	3.558373073	3.796876328
ENSRNOG00000047969	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051008	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000024604	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047614	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000026870	0	0.02242034	1.254217222	0	0.049593467	1.097778232	0	0	0.071772572	0.025848073	0.074977168	0
ENSRNOG00000001074	0.804403337	1.368083218	1.563206907	0.79767518	1.044032211	1.837824834	1.751267285	1.922863473	1.59123412	1.829601409	2.226542367	2.000969552
ENSRNOG00000009969	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049764	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000020230	9.817404554	9.343254408	9.546281639	14.27235918	8.661623195	9.173292251	14.81613616	14.13137043	13.7562989	16.41171016	14.65136503	14.89000968
ENSRNOG00000037263	26.32908214	21.0423278	23.4110987	21.00147563	19.8824113	26.81898315	35.73908336	32.36404599	30.0007973	34.10670557	36.5725961	31.47485505
ENSRNOG00000021026	8.17242272	7.649347024	8.796472861	6.911290348	5.931627293	9.025900847	12.6055935	13.30848358	11.53787	12.96299835	12.56592277	9.737452087
Novel00994	13.35044543	10.8935536	10.29517413	12.09485449	11.1675929	11.35928276	6.832398011	7.319934046	7.395489529	7.176579615	7.766036097	6.0273079
Novel00605	2.080441951	1.981446185	1.916189111	2.700403005	1.415321258	1.969393333	2.35347653	3.113262944	2.24649931	2.807883192	2.392819724	1.674310449
ENSRNOG00000011517	15.7564782	12.34497912	16.34575387	13.47683285	12.81597801	17.37133592	22.80725472	24.52916126	24.98711768	21.56014483	25.50168249	25.02980401
ENSRNOG00000048535	0	0	0.151149777	0	0	0	0	0.145112765	0	0	0	0
ENSRNOG00000017684	4.793646123	5.751691784	3.196512778	6.604049043	5.086588439	3.062646009	2.479663016	2.621302672	2.065730486	2.309252905	2.469808431	2.379356914
ENSRNOG00000023274	9.446829497	7.621453578	7.216286653	9.596298004	7.61475864	8.321403577	7.719421915	7.20205509	8.863690959	7.661177148	6.834809531	8.988488687
ENSRNOG00000047947	0.156538108	0.149089397	0.088725709	0	0.144280322	0.233972381	0.400940314	0.362023295	0.178975816	0.300795122	0.290837498	0.229053945
ENSRNOG00000029008	0	0.33463001	0.056898336	0.067982409	0.105742393	0.240068213	0.102846567	0	0.102021549	0.110225689	0.213153481	0
ENSRNOG00000021248	3.199687466	3.446218758	2.847888933	3.555030043	2.567326933	2.91431645	5.262947691	3.713536899	3.296299809	4.98180679	4.080421113	3.072518963
ENSRNOG00000018645	806.9741034	744.8162652	1062.846835	1396.445108	707.5367377	1001.570982	501.2557711	559.766347	552.922236	497.5296058	544.3676256	538.5253518
Novel00726	0.941969823	0.719264505	0.414238929	0.725904222	0.87248535	0.728240396	0.948426083	0.874926755	0.86654286	0.802479914	0.775914346	0.998104428
ENSRNOG00000001450	13.45709995	9.644933454	11.71087301	13.76207329	10.13028581	11.29628367	15.91080413	14.71962907	15.9903891	14.62699186	15.47767972	15.3948315
ENSRNOG00000002224	0	0	0	0.242437696	0.047137087	0	0	0.048701381	0.090956872	0.049135619	0.14252705	0
ENSRNOG00000024304	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000031240	0.337527418	0.281283197	0.717413798	0.057144634	0.44442455	0.605389408	0.216126844	0.137751973	0.343028975	0.555920868	0.179172491	0.197554417
